signal_id,timestamp,direction,signal_state,outcome,btc_price,confidence,entry_zone_low,entry_zone_high,stop_loss,target_1,target_2,risk_reward_ratio,setup_type,market_bias,whale_direction,liquidity_direction,pnl_percent,outcome_notes,status
6d9e0096-9eea-49b4-b876-6100c61b921a,2026-03-14T19:04:20.099000,SHORT,OPERATIONAL,,70651.9,45.0,70651.9,70540.0,71141.04,70200.0,68971.6,0.92,sweep_reversal,BEARISH,SELL,UP,,,invalidated
253afe82-cda0-494a-b1bc-0c9e6abce060,2026-03-14T19:04:19.838000,SHORT,SETUP_IN_CONFIRMATION,,70651.9,45.0,70651.9,70540.0,71141.04,70200.0,68971.6,0.92,sweep_reversal,BEARISH,SELL,UP,,,confirmed
fad939f3-6820-4ccd-ba1a-678d08bfa2f1,2026-03-14T18:59:01.658000,NO TRADE,NO_TRADE,,70706.7,50.0,69999.63,71413.77,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,BUY,UP,,,invalidated
e07e402b-32b8-4ccf-855e-4eeb024a7c72,2026-03-14T18:58:02.506000,SHORT,OPERATIONAL,,70675.6,62.0,70675.6,70674.14,71289.88,70200.0,68971.6,0.77,sweep_reversal,BEARISH,SELL,UP,,,invalidated
6e531716-4402-4bed-85e0-315d13a07596,2026-03-14T18:58:02.181000,SHORT,SETUP_IN_CONFIRMATION,,70675.6,40.0,70675.6,70787.1,70892.7,70200.0,68971.6,2.19,sweep_reversal,BEARISH,SELL,UP,,,confirmed
7759b59a-d4f8-41cd-9513-e462336a6fb0,2026-03-14T18:30:50.432000,NO TRADE,NO_TRADE,,70637.3,45.0,69930.93,71343.67,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,NEUTRAL,UP,,,invalidated
28413169-0901-4fdb-8dfb-04ddbadcd2aa,2026-03-14T18:29:51.689000,SHORT,OPERATIONAL,,70637.3,45.0,70637.3,70540.0,71141.04,70200.0,68971.6,0.87,sweep_reversal,BEARISH,SELL,UP,,,invalidated
1378e381-4425-44cd-b7c0-b371e35e91ad,2026-03-14T18:29:50.755000,SHORT,SETUP_IN_CONFIRMATION,,70637.3,45.0,70637.3,70540.0,71141.04,70200.0,68971.6,0.87,sweep_reversal,BEARISH,SELL,UP,,,confirmed
e8907fcd-4033-4740-be8d-a5317b0dda4f,2026-03-14T18:15:50.412000,NO TRADE,NO_TRADE,NO_TRADE,70593.0,45.0,69887.07,71298.93,0.0,0.0,0.0,0.0,sweep_reversal,BEARISH,NEUTRAL,UP,,,invalidated
e316d51c-ff06-4174-a8c5-54e59494d5ff,2026-03-14T18:15:17.247000,SHORT,OPERATIONAL,EXPIRED,70598.5,52.9,70598.5,70540.0,71141.04,70200.0,68971.6,0.73,sweep_reversal,BEARISH,SELL,UP,,Migrated from legacy format,invalidated
